0,2018_Wal_Blaenau Gwent_Autumn Half Term Holidays,2018-10-29
1,2018_Wal_Blaenau Gwent_Autumn Half Term Holidays,2018-10-30
2,2018_Wal_Blaenau Gwent_Autumn Half Term Holidays,2018-10-31
3,2018_Wal_Blaenau Gwent_Autumn Half Term Holidays,2018-11-01
4,2018_Wal_Blaenau Gwent_Autumn Half Term Holidays,2018-11-02
5,2018_Wal_Blaenau Gwent_Autumn Half Term Holidays,2018-11-03
0,2018_Wal_Blaenau Gwent_Winter Holidays,2018-12-24
1,2018_Wal_Blaenau Gwent_Winter Holidays,2018-12-25
2,2018_Wal_Blaenau Gwent_Winter Holidays,2018-12-26
3,2018_Wal_Blaenau Gwent_Winter Holidays,2018-12-27
4,2018_Wal_Blaenau Gwent_Winter Holidays,2018-12-28
5,2018_Wal_Blaenau Gwent_Winter Holidays,2018-12-29
6,2018_Wal_Blaenau Gwent_Winter Holidays,2018-12-30
7,2018_Wal_Blaenau Gwent_Winter Holidays,2018-12-31
8,2018_Wal_Blaenau Gwent_Winter Holidays,2019-01-01
9,2018_Wal_Blaenau Gwent_Winter Holidays,2019-01-02
10,2018_Wal_Blaenau Gwent_Winter Holidays,2019-01-03
11,2018_Wal_Blaenau Gwent_Winter Holidays,2019-01-04
12,2018_Wal_Blaenau Gwent_Winter Holidays,2019-01-05
0,2018_Wal_Bridgend_Autumn Half Term Holidays,2018-10-29
1,2018_Wal_Bridgend_Autumn Half Term Holidays,2018-10-30
2,2018_Wal_Bridgend_Autumn Half Term Holidays,2018-10-31
3,2018_Wal_Bridgend_Autumn Half Term Holidays,2018-11-01
4,2018_Wal_Bridgend_Autumn Half Term Holidays,2018-11-02
5,2018_Wal_Bridgend_Autumn Half Term Holidays,2018-11-03
0,2018_Wal_Bridgend_Winter Holidays,2018-12-24
1,2018_Wal_Bridgend_Winter Holidays,2018-12-25
2,2018_Wal_Bridgend_Winter Holidays,2018-12-26
3,2018_Wal_Bridgend_Winter Holidays,2018-12-27
4,2018_Wal_Bridgend_Winter Holidays,2018-12-28
5,2018_Wal_Bridgend_Winter Holidays,2018-12-29
6,2018_Wal_Bridgend_Winter Holidays,2018-12-30
7,2018_Wal_Bridgend_Winter Holidays,2018-12-31
8,2018_Wal_Bridgend_Winter Holidays,2019-01-01
9,2018_Wal_Bridgend_Winter Holidays,2019-01-02
10,2018_Wal_Bridgend_Winter Holidays,2019-01-03
11,2018_Wal_Bridgend_Winter Holidays,2019-01-04
12,2018_Wal_Bridgend_Winter Holidays,2019-01-05
0,2018_Wal_Caerphilly_Autumn Half Term Holidays,2018-10-29
1,2018_Wal_Caerphilly_Autumn Half Term Holidays,2018-10-30
2,2018_Wal_Caerphilly_Autumn Half Term Holidays,2018-10-31
3,2018_Wal_Caerphilly_Autumn Half Term Holidays,2018-11-01
4,2018_Wal_Caerphilly_Autumn Half Term Holidays,2018-11-02
5,2018_Wal_Caerphilly_Autumn Half Term Holidays,2018-11-03
0,2018_Wal_Caerphilly_Winter Holidays,2018-12-24
1,2018_Wal_Caerphilly_Winter Holidays,2018-12-25
2,2018_Wal_Caerphilly_Winter Holidays,2018-12-26
