2018_Nor_Northern Ireland_Autumn Half Term Holidays,2018-10-31,2018-11-03
2018_Nor_Northern Ireland_Winter Holidays,2018-12-24,2019-01-02
2019_Nor_Northern Ireland_August Bank Holiday,2019-08-26,2019-08-27
2019_Nor_Northern Ireland_Battle of the Boyne,2019-07-12,2019-07-13
2019_Nor_Northern Ireland_Boxing Day,2019-12-26,2019-12-27
2019_Nor_Northern Ireland_Christmas Day,2019-12-25,2019-12-26
2019_Nor_Northern Ireland_Easter Monday,2019-04-22,2019-04-23
2019_Nor_Northern Ireland_Good Friday,2019-04-19,2019-04-20
2019_Nor_Northern Ireland_Late May Bank Holiday,2019-05-27,2019-05-28
2019_Nor_Northern Ireland_May Day,2019-05-06,2019-05-07
2019_Nor_Northern Ireland_New Year's Day,2019-01-01,2019-01-02
2019_Nor_Northern Ireland_Saint Patrick's Day,2019-03-17,2019-03-18
2019_Nor_Northern Ireland_Spring Half Term Holidays,2019-02-18,2019-02-20
2019_Nor_Northern Ireland_Spring Holidays,2019-04-18,2019-04-27
2019_Nor_Northern Ireland_St Patrick's Day Holiday,2019-03-18,2019-03-19
2019_Nor_Northern Ireland_Summer Holidays,2019-07-01,2019-08-31
2020_Nor_Northern Ireland_August Bank Holiday,2020-08-31,2020-09-01
2020_Nor_Northern Ireland_Battle of the Boyne,2020-07-12,2020-07-13
2020_Nor_Northern Ireland_Boxing Day,2020-12-26,2020-12-27
2020_Nor_Northern Ireland_Boxing Day Holiday,2020-12-28,2020-12-29
2020_Nor_Northern Ireland_Christmas Day,2020-12-25,2020-12-26
2020_Nor_Northern Ireland_Easter Monday,2020-04-13,2020-04-14
2020_Nor_Northern Ireland_Good Friday,2020-04-10,2020-04-11
2020_Nor_Northern Ireland_Late May Bank Holiday,2020-05-25,2020-05-26
2020_Nor_Northern Ireland_May Day,2020-05-04,2020-05-05
2020_Nor_Northern Ireland_New Year's Day,2020-01-01,2020-01-02
2020_Nor_Northern Ireland_Saint Patrick's Day,2020-03-17,2020-03-18
