2018_Sco_Aberdeen City_Autumn Half Term Holidays,2018-09-21,2018-09-25,4
2018_Sco_Aberdeen City_Autumn Holidays,2018-10-15,2018-10-27,12
2018_Sco_Aberdeen City_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Aberdeenshire_Autumn Holidays,2018-10-15,2018-10-27,12
2018_Sco_Aberdeenshire_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Angus_Autumn Holidays,2018-10-01,2018-10-13,12
2018_Sco_Angus_Winter Half Term Holidays,2018-11-28,2018-12-01,3
2018_Sco_Angus_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Argyll and Bute_Autumn Holidays,2018-10-08,2018-10-20,12
2018_Sco_Argyll and Bute_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Clackmannanshire_Autumn Holidays,2018-10-15,2018-10-20,5
2018_Sco_Clackmannanshire_Winter Half Term Holidays,2018-11-29,2018-12-01,2
2018_Sco_Clackmannanshire_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Comhairle nan Eilean Star_Autumn Holidays,2018-10-15,2018-10-25,10
2018_Sco_Comhairle nan Eilean Star_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Dumfries and Galloway_Autumn Holidays,2018-10-15,2018-10-27,12
2018_Sco_Dumfries and Galloway_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Dundee City_Autumn Holidays,2018-10-08,2018-10-20,12
2018_Sco_Dundee City_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_East Ayrshire_Autumn Half Term Holidays,2018-09-21,2018-09-25,4
2018_Sco_East Ayrshire_Autumn Holidays,2018-10-15,2018-10-20,5
2018_Sco_East Ayrshire_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_East Dunbartonshire_Autumn Half Term Holidays,2018-09-21,2018-09-25,4
2018_Sco_East Dunbartonshire_Autumn Holidays,2018-10-12,2018-10-20,8
2018_Sco_East Dunbartonshire_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_East Lothian_Autumn Half Term Holidays,2018-09-14,2018-09-18,4
2018_Sco_East Lothian_Autumn Holidays,2018-10-15,2018-10-23,8
2018_Sco_East Lothian_Winter Holidays,2018-12-21,2019-01-05,15
2018_Sco_East Renfrewshire_Autumn Half Term Holidays,2018-09-21,2018-09-25,4
2018_Sco_East Renfrewshire_Autumn Holidays,2018-10-12,2018-10-20,8
2018_Sco_East Renfrewshire_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Edinburgh City_Autumn Half Term Holidays,2018-10-15,2018-10-23,8
2018_Sco_Edinburgh City_Autumn Holidays,2018-09-17,2018-09-18,1
2018_Sco_Edinburgh City_Winter Holidays,2018-12-24,2019-01-09,16
2018_Sco_Falkirk_Autumn Half Term Holidays,2018-09-10,2018-09-11,1
2018_Sco_Falkirk_Autumn Holidays,2018-10-15,2018-10-23,8
2018_Sco_Falkirk_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Fife_Autumn Holidays,2018-10-08,2018-10-20,12
2018_Sco_Fife_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Glasgow City_Autumn Half Term Holidays,2018-09-21,2018-09-25,4
2018_Sco_Glasgow City_Autumn Holidays,2018-10-12,2018-10-20,8
2018_Sco_Glasgow City_Winter Holidays,2018-12-21,2019-01-05,15
2018_Sco_Highland_Autumn Half Term Holidays,2018-09-17,2018-09-19,2
2018_Sco_Highland_Autumn Holidays,2018-10-15,2018-10-27,12
2018_Sco_Highland_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Inverclyde_Autumn Half Term Holidays,2018-09-03,2018-09-05,2
2018_Sco_Inverclyde_Autumn Holidays,2018-10-15,2018-10-23,8
2018_Sco_Inverclyde_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Midlothian_Autumn Holidays,2018-10-15,2018-10-23,8
2018_Sco_Midlothian_Winter Holidays,2018-12-24,2019-01-08,15
2018_Sco_Moray_Autumn Holidays,2018-10-08,2018-10-20,12
2018_Sco_Moray_Winter Half Term Holidays,2018-11-12,2018-11-14,2
2018_Sco_Moray_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_North Ayrshire_Autumn Holidays,2018-10-15,2018-10-20,5
2018_Sco_North Ayrshire_Winter Half Term Holidays,2018-11-16,2018-11-20,4
2018_Sco_North Ayrshire_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_North Lanarkshire_Autumn Half Term Holidays,2018-09-21,2018-09-25,4
2018_Sco_North Lanarkshire_Autumn Holidays,2018-10-15,2018-10-20,5
2018_Sco_North Lanarkshire_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Orkney Islands_Autumn Holidays,2018-10-15,2018-10-31,16
2018_Sco_Orkney Islands_Winter Holidays,2018-12-21,2019-01-05,15
2018_Sco_Perth and Kinross_Autumn Holidays,2018-10-08,2018-10-20,12
2018_Sco_Perth and Kinross_Winter Half Term Holidays,2018-11-15,2018-11-17,2
2018_Sco_Perth and Kinross_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Renfrewshire_Autumn Half Term Holidays,2018-09-21,2018-09-25,4
2018_Sco_Renfrewshire_Autumn Holidays,2018-10-15,2018-10-23,8
2018_Sco_Renfrewshire_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Scottish Borders_Autumn Holidays,2018-10-08,2018-10-13,5
2018_Sco_Scottish Borders_Winter Half Term Holidays,2018-11-08,2018-11-10,2
2018_Sco_Scottish Borders_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_Shetland Islands_Autumn Holidays,2018-10-15,2018-10-31,16
2018_Sco_Shetland Islands_Winter Holidays,2018-12-24,2019-01-08,15
2018_Sco_South Ayrshire_Autumn Half Term Holidays,2018-09-21,2018-09-25,4
2018_Sco_South Ayrshire_Autumn Holidays,2018-10-15,2018-10-23,8
2018_Sco_South Ayrshire_Winter Holidays,2018-12-24,2019-01-05,12
2018_Sco_South Lanarkshire_Autumn Half Term Holidays,2018-09-21,2018-09-25,4
