2018_Wal_Blaenau Gwent_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Blaenau Gwent_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Bridgend_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Bridgend_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Caerphilly_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Caerphilly_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Cardiff_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Cardiff_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Carmarthenshire_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Carmarthenshire_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Ceredigion_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Ceredigion_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Conwy_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Conwy_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Denbighshire_Autumn Half Term Holidays,2018-10-29,2018-11-06
2018_Wal_Denbighshire_Winter Holidays,2018-12-24,2019-01-08
2018_Wal_Flintshire_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Flintshire_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Gwynedd_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Gwynedd_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Isle of Anglesey_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Isle of Anglesey_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Merthyr Tydfil_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Merthyr Tydfil_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Monmouthshire_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Monmouthshire_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Neath Port Talbot_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Neath Port Talbot_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Newport_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Newport_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Pembrokeshire_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Pembrokeshire_Winter Holidays,2018-12-24,2019-01-05
2018_Wal_Powys_Autumn Half Term Holidays,2018-10-29,2018-11-03
2018_Wal_Powys_Winter Holidays,2018-12-24,2019-01-08
